frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,_ws.col.Info
"1","Apr 22, 2011 13:23:49.238845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [SYN, ECN, CWR] Seq=0 Win=4128 Len=0 MSS=536"
"2","Apr 22, 2011 13:23:49.609845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","58","80→46557 [SYN, ACK, ECN] Seq=0 Ack=1 Win=4128 Len=0 MSS=536"
"3","Apr 22, 2011 13:23:49.690845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=1 Ack=1 Win=4128 Len=0"
"4","Apr 22, 2011 13:23:49.700845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","215","GET /show-tech HTTP/1.1 "
"5","Apr 22, 2011 13:23:50.151845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","310","[TCP segment of a reassembled PDU]"
"6","Apr 22, 2011 13:23:50.222845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=257 Win=3872 Len=0"
"7","Apr 22, 2011 13:23:50.640845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","335","[TCP segment of a reassembled PDU]"
"8","Apr 22, 2011 13:23:50.682845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=538 Win=3591 Len=0"
"9","Apr 22, 2011 13:23:50.688845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","566","[TCP segment of a reassembled PDU]"
"10","Apr 22, 2011 13:23:50.742845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=538 Win=4128 Len=0"
"11","Apr 22, 2011 13:23:50.762845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=1050 Win=3616 Len=0"
"12","Apr 22, 2011 13:23:51.090845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"13","Apr 22, 2011 13:23:51.163845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"14","Apr 22, 2011 13:23:51.163845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=1586 Win=3080 Len=0"
"15","Apr 22, 2011 13:23:51.203845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=1586 Win=4128 Len=0"
"16","Apr 22, 2011 13:23:51.214845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=2122 Win=3592 Len=0"
"17","Apr 22, 2011 13:23:51.223845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=2122 Win=4128 Len=0"
"18","Apr 22, 2011 13:23:51.315845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","568","[TCP segment of a reassembled PDU]"
"19","Apr 22, 2011 13:23:51.323845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=2636 Win=3614 Len=0"
"20","Apr 22, 2011 13:23:51.655845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"21","Apr 22, 2011 13:23:51.663845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=3172 Win=3078 Len=0"
"22","Apr 22, 2011 13:23:51.673845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=3172 Win=4128 Len=0"
"23","Apr 22, 2011 13:23:52.010845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"24","Apr 22, 2011 13:23:52.063845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=3708 Win=3592 Len=0"
"25","Apr 22, 2011 13:23:52.109845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"26","Apr 22, 2011 13:23:52.155845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=3708 Win=4128 Len=0"
"27","Apr 22, 2011 13:23:52.165845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=4244 Win=3592 Len=0"
"28","Apr 22, 2011 13:23:52.175845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=4244 Win=4128 Len=0"
"29","Apr 22, 2011 13:23:52.792845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"30","Apr 22, 2011 13:23:52.855845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=4780 Win=3592 Len=0"
"31","Apr 22, 2011 13:23:52.905845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=4780 Win=4128 Len=0"
"32","Apr 22, 2011 13:23:53.566845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"33","Apr 22, 2011 13:23:53.630845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"34","Apr 22, 2011 13:23:53.656845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=5316 Win=3592 Len=0"
