src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
197.208.124.44:24360,<->,71.126.222.64:8174,0,0,3,144,3,144,0.276916000,0.0104
71.126.222.64:63888,<->,195.149.78.209:38310,2,96,0,0,2,96,0.506877000,0.0000
167.78.136.112:9479,<->,71.126.222.64:6372,0,0,2,96,2,96,0.502149000,0.0078
71.126.222.64:48976,<->,215.199.159.193:46751,2,96,0,0,2,96,0.498079000,0.0059
71.126.222.64:63978,<->,212.204.87.232:32911,2,96,0,0,2,96,0.497091000,0.0126
215.132.38.7:62325,<->,71.126.222.64:22224,0,0,2,96,2,96,0.495620000,0.0166
200.67.177.219:50269,<->,71.126.222.64:13207,0,0,2,96,2,96,0.491420000,0.0094
195.92.41.97:42811,<->,71.126.222.64:netwatcher-db,0,0,2,96,2,96,0.490662000,0.0196
209.241.99.58:55890,<->,71.126.222.64:13023,0,0,2,96,2,96,0.490598000,0.0000
209.241.99.58:58797,<->,71.126.222.64:13023,0,0,2,96,2,96,0.489174000,0.0000
71.126.222.64:37528,<->,202.223.248.93:cardbox-http,2,96,0,0,2,96,0.488706000,0.0093
40.117.181.21:32451,<->,71.126.222.64:virtualtape,0,0,2,96,2,96,0.486027000,0.0143
153.4.15.217:29967,<->,71.126.222.64:6372,0,0,2,96,2,96,0.486006000,0.0144
71.126.222.64:47592,<->,214.84.216.64:44371,2,96,0,0,2,96,0.481995000,0.0000
202.107.62.252:59419,<->,71.126.222.64:21946,0,0,2,96,2,96,0.480921000,0.0174
130.119.190.246:65069,<->,71.126.222.64:17547,0,0,2,96,2,96,0.480041000,0.0121
196.105.210.212:62230,<->,71.126.222.64:10470,0,0,2,96,2,96,0.478704000,0.0123
71.126.222.64:63819,<->,200.72.167.141:50874,2,96,0,0,2,96,0.478693000,0.0104
216.156.97.211:27492,<->,71.126.222.64:13507,0,0,2,96,2,96,0.475157000,0.0151
211.129.121.200:35013,<->,71.126.222.64:21795,0,0,2,96,2,96,0.469772000,0.0095
254.30.161.241:34823,<->,71.126.222.64:22771,0,0,2,96,2,96,0.469363000,0.0079
71.126.222.64:34448,<->,219.75.143.243:8316,2,96,0,0,2,96,0.466498000,0.0010
216.148.157.90:48847,<->,71.126.222.64:44420,0,0,2,96,2,96,0.466302000,0.0099
71.126.222.64:34070,<->,216.156.253.27:7841,2,96,0,0,2,96,0.464680000,0.0113
71.126.222.64:32468,<->,130.119.197.157:28959,2,96,0,0,2,96,0.463771000,0.0100
193.222.87.134:42830,<->,71.126.222.64:13238,0,0,2,96,2,96,0.463571000,0.0098
57.222.217.116:59146,<->,71.126.222.64:43183,0,0,2,96,2,96,0.463555000,0.0109
71.126.222.64:32466,<->,58.223.31.92:27423,2,96,0,0,2,96,0.463455000,0.0137
71.126.222.64:47784,<->,45.57.120.206:7540,2,96,0,0,2,96,0.463103000,0.0107
37.231.112.17:55702,<->,71.126.222.64:54300,0,0,2,96,2,96,0.460888000,0.0108
207.252.246.238:63733,<->,71.126.222.64:58985,0,0,2,96,2,96,0.457783000,0.0106
199.193.207.152:50257,<->,71.126.222.64:6372,0,0,2,96,2,96,0.455533000,0.0175
71.126.222.64:26974,<->,192.143.102.116:9298,2,96,0,0,2,96,0.454153000,0.0104
71.126.222.64:15879,<->,208.117.211.224:mylex-mapd,2,96,0,0,2,96,0.453597000,0.0068
71.126.222.64:63510,<->,213.114.130.4:42198,2,96,0,0,2,96,0.451839000,0.0121
202.145.91.226:50275,<->,71.126.222.64:11640,0,0,2,96,2,96,0.450710000,0.0080
71.126.222.64:19012,<->,211.113.140.207:7052,2,96,0,0,2,96,0.450495000,0.0119
197.217.162.134:38413,<->,71.126.222.64:d-fence,0,0,2,96,2,96,0.447288000,0.0148
71.126.222.64:43943,<->,63.126.164.3:10025,2,96,0,0,2,96,0.446302000,0.0107
250.254.109.96:14831,<->,71.126.222.64:x11,0,0,2,96,2,96,0.446174000,0.0023
214.181.180.42:59874,<->,71.126.222.64:21946,0,0,2,96,2,96,0.445666000,0.0108
216.165.225.74:53229,<->,71.126.222.64:29775,0,0,2,96,2,96,0.445285000,0.0087
71.126.222.64:22224,<->,195.194.8.167:15615,2,96,0,0,2,96,0.444913000,0.0042
40.0.187.101:51320,<->,71.126.222.64:15486,0,0,2,96,2,96,0.442597000,0.0097
203.188.180.225:44635,<->,71.126.222.64:13238,0,0,2,96,2,96,0.440543000,0.0057
71.126.222.64:36576,<->,54.113.185.215:33308,2,96,0,0,2,96,0.440233000,0.0082
71.126.222.64:50330,<->,215.94.251.130:swdtp,2,96,0,0,2,96,0.433948000,0.0103
212.2.46.20:59925,<->,71.126.222.64:36104,0,0,2,96,2,96,0.433287000,0.0103
71.126.222.64:47592,<->,38.165.190.90:stuns,2,96,0,0,2,96,0.431891000,0.0022
195.25.96.197:56454,<->,71.126.222.64:48976,0,0,2,96,2,96,0.429415000,0.0053
71.126.222.64:38667,<->,40.71.25.78:24700,2,96,0,0,2,96,0.426676000,0.0125
215.64.43.230:61984,<->,71.126.222.64:32466,0,0,2,96,2,96,0.426426000,0.0050
212.146.5.62:57362,<->,71.126.222.64:43943,0,0,2,96,2,96,0.426271000,0.0127
71.126.222.64:47784,<->,45.57.120.206:acplt,2,96,0,0,2,96,0.425073000,0.0110
196.86.142.179:45163,<->,71.126.222.64:19012,0,0,2,96,2,96,0.423091000,0.0104
71.126.222.64:47068,<->,214.178.181.5:caevms,2,96,0,0,2,96,0.422844000,0.0061
216.165.225.74:53227,<->,71.126.222.64:29775,0,0,2,96,2,96,0.422421000,0.0060
36.77.50.254:56293,<->,71.126.222.64:spsc,0,0,2,96,2,96,0.419688000,0.0103
216.156.97.211:27445,<->,71.126.222.64:13507,0,0,2,96,2,96,0.419149000,0.0082
204.54.196.69:61641,<->,71.126.222.64:36447,0,0,2,96,2,96,0.417874000,0.0083
71.126.222.64:48976,<->,208.119.226.72:40904,2,96,0,0,2,96,0.411639000,0.0118
202.117.42.95:63141,<->,71.126.222.64:44833,0,0,2,96,2,96,0.409642000,0.0100
167.46.3.209:18969,<->,71.126.222.64:6372,0,0,2,96,2,96,0.409573000,0.0081
71.126.222.64:36104,<->,210.63.140.29:33320,2,96,0,0,2,96,0.408704000,0.0002
202.107.62.252:59385,<->,71.126.222.64:21946,0,0,2,96,2,96,0.407416000,0.0304
71.126.222.64:63888,<->,133.85.232.42:15049,2,96,0,0,2,96,0.406919000,0.0096
71.126.222.64:49858,<->,195.53.240.87:univision,2,96,0,0,2,96,0.405769000,0.0080
71.126.222.64:44833,<->,196.103.220.178:23090,2,96,0,0,2,96,0.404570000,0.0053
71.126.222.64:36104,<->,210.63.140.29:33273,2,96,0,0,2,96,0.404320000,0.0000
71.126.222.64:43211,<->,212.71.216.174:hello,2,96,0,0,2,96,0.403375000,0.0116
254.30.161.241:34760,<->,71.126.222.64:22771,0,0,2,96,2,96,0.401999000,0.0122
