src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
112.7.79.190,<->,80.38.36.39,0,0,15,1080,15,1080,0.069369000,1.7452
152.1.221.131,<->,20.213.77.127,0,0,14,840,14,840,0.117215000,1.7681
82.162.132.166,<->,8.220.200.250,0,0,13,832,13,832,0.075399000,1.2498
215.158.103.203,<->,17.6.149.126,11,968,0,0,11,968,0.378106000,1.2408
210.229.231.45,<->,210.229.230.19,0,0,10,640,10,640,1.435324000,0.2728
210.229.230.20,<->,42.124.194.93,8,512,0,0,8,512,0.067085000,0.7860
210.229.230.19,<->,113.176.55.114,7,448,0,0,7,448,1.042077000,0.8212
215.158.239.92,<->,207.63.144.128,7,4060,0,0,7,4060,0.300342000,1.4005
136.25.188.106,<->,17.153.122.93,7,1204,0,0,7,1204,0.259581000,1.3637
192.64.228.59,<->,130.238.51.137,5,420,0,0,5,420,0.808044000,0.0636
215.158.239.92,<->,196.104.167.37,4,457,0,0,4,457,0.798639000,0.9998
136.25.188.106,<->,99.17.108.35,4,240,0,0,4,240,0.637496000,1.0659
252.138.212.250,<->,136.25.188.161,0,0,3,326,3,326,1.960661000,0.0131
144.85.170.230,<->,91.231.218.55,3,204,0,0,3,204,1.933028000,0.0348
215.158.238.14,<->,122.158.239.127,3,429,0,0,3,429,1.739224000,0.0003
148.140.162.127,<->,89.183.104.178,0,0,3,204,3,204,1.632557000,0.2365
142.237.103.240,<->,136.25.188.55,0,0,3,363,3,363,1.247780000,0.0057
195.78.28.47,<->,144.85.170.228,0,0,3,204,3,204,1.133464000,0.3243
133.178.226.246,<->,8.33.227.71,2,278,0,0,2,278,1.790018000,0.0034
89.183.107.130,<->,89.3.133.24,2,344,0,0,2,344,1.576305000,0.0015
136.25.189.94,<->,29.211.206.37,2,293,0,0,2,293,1.453830000,0.0070
97.126.26.39,<->,33.3.70.169,2,208,0,0,2,208,1.399345000,0.1282
97.126.26.40,<->,33.3.70.169,2,208,0,0,2,208,1.382465000,0.1144
92.27.219.153,<->,78.45.136.53,2,266,0,0,2,266,1.083609000,0.0079
146.249.218.211,<->,8.252.222.162,0,0,2,320,2,320,0.949632000,0.0172
136.25.188.106,<->,131.13.136.222,2,344,0,0,2,344,0.931110000,0.4051
57.81.55.173,<->,20.192.127.218,0,0,2,176,2,176,0.893460000,0.9996
145.144.97.107,<->,53.230.58.251,2,176,0,0,2,176,0.843923000,1.0001
192.64.210.144,<->,91.250.185.182,2,188,0,0,2,188,0.817712000,0.9999
145.166.30.92,<->,92.27.219.205,0,0,2,168,2,168,0.810734000,1.0043
136.25.188.106,<->,131.45.197.200,2,120,0,0,2,120,0.792412000,0.3198
249.101.92.202,<->,94.39.140.57,2,184,0,0,2,184,0.789694000,1.0358
237.7.174.46,<->,100.94.177.44,0,0,2,164,2,164,0.774165000,0.2667
109.206.166.234,<->,50.224.92.222,0,0,2,300,2,300,0.737611000,1.0019
130.73.139.115,<->,39.1.152.199,0,0,2,136,2,136,0.727565000,1.0000
145.166.30.92,<->,92.27.219.52,0,0,2,168,2,168,0.725169000,1.0119
255.133.226.138,<->,8.20.87.7,0,0,2,344,2,344,0.702084000,0.9982
194.237.128.131,<->,136.25.188.242,0,0,2,522,2,522,0.686416000,0.0030
144.87.235.131,<->,124.62.152.8,2,176,0,0,2,176,0.584132000,1.0218
33.245.237.81,<->,20.115.209.25,0,0,2,513,2,513,0.564886000,0.0239
215.158.238.247,<->,6.15.202.155,2,136,0,0,2,136,0.510758000,1.0005
193.51.144.93,<->,35.56.98.12,0,0,2,100,2,100,0.480677000,1.0063
104.142.6.132,<->,80.41.53.16,0,0,2,350,2,350,0.472964000,0.0022
138.98.251.122,<->,99.16.186.18,2,120,0,0,2,120,0.472602000,1.0002
255.133.228.28,<->,136.25.189.94,0,0,2,200,2,200,0.422241000,0.9987
109.1.54.209,<->,18.49.202.252,2,176,0,0,2,176,0.221290000,0.2241
247.39.103.240,<->,35.56.98.12,0,0,2,100,2,100,0.214490000,1.0156
215.158.117.54,<->,129.254.122.124,0,0,2,200,2,200,0.201815000,1.0004
215.158.238.247,<->,113.93.93.125,2,200,0,0,2,200,0.160132000,0.9907
224.154.225.219,<->,139.193.141.139,0,0,2,176,2,176,0.155982000,1.0017
227.145.163.213,<->,129.254.122.124,0,0,2,200,2,200,0.143174000,1.0020
104.74.153.121,<->,92.27.219.224,0,0,2,120,2,120,0.137789000,1.5693
116.151.56.204,<->,97.126.89.196,0,0,2,120,2,120,0.074259000,0.0097
255.133.229.164,<->,111.146.144.109,0,0,1,100,1,100,1.998215000,0.0000
220.55.111.215,<->,76.115.75.72,1,52,0,0,1,52,1.996101000,0.0000
211.166.204.143,<->,89.183.104.145,0,0,1,60,1,60,1.993398000,0.0000
80.40.63.196,<->,33.241.148.5,1,104,0,0,1,104,1.991877000,0.0000
199.111.6.226,<->,99.75.86.46,0,0,1,80,1,80,1.988224000,0.0000
140.17.122.242,<->,92.181.189.237,0,0,1,50,1,50,1.987805000,0.0000
196.15.33.229,<->,20.52.37.66,0,0,1,60,1,60,1.983907000,0.0000
95.218.74.24,<->,20.181.23.119,0,0,1,90,1,90,1.982714000,0.0000
204.115.73.222,<->,8.228.208.181,0,0,1,125,1,125,1.974006000,0.0000
144.75.218.237,<->,27.9.184.49,1,50,0,0,1,50,1.963146000,0.0000
215.158.209.212,<->,8.43.213.44,0,0,1,1004,1,1004,1.963049000,0.0000
148.151.111.65,<->,39.30.20.140,0,0,1,60,1,60,1.959127000,0.0000
39.54.70.100,<->,33.96.221.241,1,103,0,0,1,103,1.956010000,0.0000
140.17.122.242,<->,98.200.189.252,0,0,1,50,1,50,1.952687000,0.0000
105.119.200.246,<->,8.220.206.28,0,0,1,704,1,704,1.951857000,0.0000
215.158.238.163,<->,98.166.239.40,1,134,0,0,1,134,1.951159000,0.0000
139.81.248.210,<->,8.182.121.21,1,68,0,0,1,68,1.948685000,0.0000
149.40.27.204,<->,20.65.103.234,0,0,1,50,1,50,1.945302000,0.0000
118.124.117.220,<->,20.69.59.180,0,0,1,98,1,98,1.944726000,0.0000
224.42.238.231,<->,20.230.128.154,0,0,1,100,1,100,1.943570000,0.0000
128.95.21.165,<->,39.236.57.111,0,0,1,94,1,94,1.940955000,0.0000
