src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
220.20.200.164:20355,<->,84.236.193.94:http-alt,21112,31747024,0,0,21112,31747024,0.000003000,1.9944
247.136.134.84:40443,<->,22.249.49.193:http,5769,8676576,0,0,5769,8676576,0.003426000,1.9944
215.158.140.162:35663,<->,220.28.73.211:http,4008,5811949,0,0,4008,5811949,0.277408000,1.6792
89.183.104.248:56885,<->,121.23.5.158:7885,3799,4718748,0,0,3799,4718748,0.002621000,1.9953
215.158.238.110:56461,<->,56.20.122.75:http,3346,5026059,0,0,3346,5026059,0.000020000,1.9117
145.19.13.114:50290,<->,14.27.112.65:http,3258,4900032,0,0,3258,4900032,0.010939000,1.9877
100.224.243.106:48860,<->,133.178.226.214:http,0,0,3137,4515913,3137,4515913,1.033264000,0.9531
133.178.227.105:59325,<->,192.228.188.15:http,2986,4362558,0,0,2986,4362558,0.574513000,0.6483
136.25.189.94:59380,<->,8.188.181.66:http,2954,4360876,0,0,2954,4360876,0.092315000,1.2373
218.4.183.196:34706,<->,111.151.238.110:http,2771,332480,0,0,2771,332480,0.038964000,1.9473
133.178.226.33:61247,<->,215.158.33.13:http,2740,4059325,0,0,2740,4059325,0.030492000,1.8141
215.158.140.181:61192,<->,100.224.243.91:http,2549,3573025,0,0,2549,3573025,1.416525000,0.5755
100.206.63.40:6308,<->,133.32.39.44:ftp-data,0,0,2381,133396,2381,133396,0.027257000,1.9498
100.224.243.115:43083,<->,133.178.226.196:http,0,0,2364,3385829,2364,3385829,0.003746000,0.8976
8.252.222.232:62231,<->,215.158.58.243:http,2316,3471188,0,0,2316,3471188,0.248523000,0.3427
129.92.113.183:49810,<->,53.231.158.13:https,2104,107304,0,0,2104,107304,0.008143000,1.9916
215.158.238.40:44761,<->,220.28.104.193:https,2102,3055083,0,0,2102,3055083,0.014459000,0.8616
92.162.253.159:58554,<->,123.153.228.196:http,2079,2799068,0,0,2079,2799068,0.009082000,0.8144
