src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
109.97.67.71:36748,<->,92.27.27.185:http-alt,0,0,3880,5835520,3880,5835520,0.004506000,1.9954
252.98.181.203:ipsec-nat-t,<->,139.254.110.36:ipsec-nat-t,2080,2830768,0,0,2080,2830768,0.001749000,1.9975
92.27.27.179:59775,<->,148.214.83.199:34903,826,1203482,0,0,826,1203482,0.020736000,1.9750
131.148.66.172:at-nbp,<->,20.206.10.26:netbios-ns,0,0,762,62484,762,62484,0.220441000,1.6019
230.102.130.22:64732,<->,133.178.227.222:9043,0,0,733,624403,733,624403,0.000236000,1.9995
105.113.53.185:45778,<->,92.27.219.43:27734,0,0,718,378164,718,378164,0.022238000,1.9750
127.161.158.33:28605,<->,192.64.194.99:17891,0,0,707,1027988,707,1027988,0.005265000,1.9927
144.253.55.140:54330,<->,133.178.227.200:9043,0,0,482,504454,482,504454,0.018361000,1.9751
247.136.132.126:45892,<->,93.181.154.100:35846,442,23640,0,0,442,23640,0.010717000,1.9287
152.12.153.239:65325,<->,89.183.104.135:http-alt,0,0,435,358975,435,358975,0.102488000,1.8477
220.211.201.206:16402,<->,133.178.227.152:ibm3494,0,0,432,129034,432,129034,0.004044000,1.9924
124.59.106.210:15750,<->,109.222.212.23:14758,0,0,405,589680,405,589680,0.003362000,1.9962
69.31.239.50:47150,<->,133.178.227.207:9043,0,0,405,84372,405,84372,0.000599000,1.9952
192.67.146.96:60513,<->,232.111.67.19:ipsec-nat-t,401,350228,0,0,401,350228,0.017747000,1.9592
8.238.204.1:16402,<->,215.158.2.80:swr-port,399,92238,0,0,399,92238,0.002284000,1.9911
82.252.43.154:53479,<->,198.230.143.36:47682,368,360343,0,0,368,360343,0.000165000,1.9998
83.232.206.116:16402,<->,133.178.227.145:nut,0,0,355,104074,355,104074,0.000051000,1.9917
110.63.236.92:43940,<->,92.27.219.40:16029,0,0,345,502896,345,502896,0.003593000,1.9846
80.40.19.83:16469,<->,195.88.168.52:14613,284,14786,0,0,284,14786,0.037265000,1.9559
193.45.87.23:find,<->,192.67.144.51:15103,0,0,280,14560,280,14560,0.008529000,1.9801
192.67.183.27:35014,<->,148.54.19.75:12037,264,13728,0,0,264,13728,0.000340000,1.6919
67.240.216.233:59008,<->,92.27.219.165:http-alt,0,0,254,124054,254,124054,0.008929000,1.9788
80.47.152.63:52116,<->,133.178.227.223:9042,0,0,251,258007,251,258007,0.000119000,1.9993
249.101.194.110:53906,<->,122.228.233.173:22010,233,12116,0,0,233,12116,0.034969000,1.9233
108.39.227.100:16402,<->,215.158.2.83:colubris,223,127613,0,0,223,127613,0.007995000,1.9805
80.42.213.194:51074,<->,89.220.215.61:9124,207,19216,0,0,207,19216,0.007531000,1.9911
204.42.61.33:6237,<->,246.253.253.207:https,0,0,206,60326,206,60326,0.007781000,1.8655
108.32.18.191:63076,<->,89.183.104.136:http-alt,0,0,205,28513,205,28513,0.010844000,1.9848
76.72.21.156:37823,<->,111.147.141.67:35299,0,0,204,13868,204,13868,0.012287000,1.4502
144.93.121.86:39038,<->,113.171.246.29:23166,200,24800,0,0,200,24800,0.009066000,1.9900
144.93.121.86:55724,<->,113.171.246.29:23988,200,24800,0,0,200,24800,0.006739000,1.9900
113.171.246.29:33728,<->,144.93.121.86:12244,0,0,200,24800,200,24800,0.005167000,1.9900
144.93.121.86:60512,<->,113.171.246.29:29362,200,24800,0,0,200,24800,0.004041000,1.9900
113.171.246.29:31938,<->,144.93.121.10:10518,0,0,200,24800,200,24800,0.001568000,1.9900
89.183.104.172:38162,<->,119.255.203.35:32381,200,11143,0,0,200,11143,0.000684000,1.9114
117.18.226.85:36170,<->,92.27.219.151:25866,0,0,198,288684,198,288684,0.099355000,1.8940
230.102.130.12:45114,<->,133.178.227.215:9042,0,0,191,108620,191,108620,0.002217000,1.9738
111.147.65.245:61969,<->,76.15.3.35:blackjack,188,97500,0,0,188,97500,0.057234000,1.9394
