src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
220.20.200.164,<->,84.236.193.94,21112,31747024,0,0,21112,31747024,0.000003000,1.9944
247.136.134.84,<->,22.249.49.193,5769,8676576,0,0,5769,8676576,0.003426000,1.9944
220.28.73.211,<->,215.158.140.162,0,0,4008,5811949,4008,5811949,0.277408000,1.6792
121.23.5.158,<->,89.183.104.248,0,0,3799,4718748,3799,4718748,0.002621000,1.9953
215.158.238.110,<->,56.20.122.75,3346,5026059,0,0,3346,5026059,0.000020000,1.9117
145.19.13.114,<->,14.27.112.65,3258,4900032,0,0,3258,4900032,0.010939000,1.9877
133.178.226.214,<->,100.224.243.106,3137,4515913,0,0,3137,4515913,1.033264000,0.9531
192.228.188.15,<->,133.178.227.105,0,0,2986,4362558,2986,4362558,0.574513000,0.6483
136.25.189.94,<->,8.188.181.66,2954,4360876,0,0,2954,4360876,0.092315000,1.2373
218.4.183.196,<->,111.151.238.110,2771,332480,0,0,2771,332480,0.038964000,1.9473
215.158.33.13,<->,133.178.226.55,0,0,2763,3961571,2763,3961571,0.296391000,1.6101
215.158.33.13,<->,133.178.226.33,0,0,2740,4059325,2740,4059325,0.030492000,1.8141
133.178.226.196,<->,100.224.243.115,2574,3510389,0,0,2574,3510389,0.003746000,1.9859
215.158.140.181,<->,100.224.243.91,2549,3573025,0,0,2549,3573025,1.416525000,0.5755
133.32.39.44,<->,100.206.63.40,2418,136488,0,0,2418,136488,0.027257000,1.9498
215.158.58.243,<->,8.252.222.232,0,0,2316,3471188,2316,3471188,0.248523000,0.3427
129.92.113.183,<->,53.231.158.13,2104,107304,0,0,2104,107304,0.008143000,1.9916
220.28.104.193,<->,215.158.238.40,0,0,2102,3055083,2102,3055083,0.014459000,0.8616
123.153.228.196,<->,92.162.253.159,0,0,2079,2799068,2079,2799068,0.009082000,0.8144
102.83.246.39,<->,8.240.117.69,2047,3076724,0,0,2047,3076724,0.258857000,1.4763
215.158.197.12,<->,8.252.222.153,0,0,1866,2718861,1866,2718861,0.027553000,0.3526
80.41.49.252,<->,22.250.210.0,1829,2720408,0,0,1829,2720408,0.001847000,1.9943
124.55.166.157,<->,80.41.39.76,0,0,1817,2732768,1817,2732768,0.001309000,1.9944
80.42.151.30,<->,22.250.173.71,1781,2678624,0,0,1781,2678624,0.017751000,1.9763
215.158.23.56,<->,8.255.92.213,1710,2551331,0,0,1710,2551331,0.010606000,1.9800
215.158.140.171,<->,98.219.126.140,1709,2482603,0,0,1709,2482603,0.665909000,0.5442
220.28.85.14,<->,215.158.238.194,0,0,1695,2417653,1695,2417653,0.017027000,1.9805
101.70.121.77,<->,91.250.62.235,1580,2249920,0,0,1580,2249920,0.013681000,1.9860
136.25.189.55,<->,80.56.246.217,1540,2185375,0,0,1540,2185375,0.858638000,0.1864
133.178.227.28,<->,8.255.87.80,1503,2191653,0,0,1503,2191653,0.805956000,0.2763
215.158.140.180,<->,131.31.145.204,1486,2184415,0,0,1486,2184415,0.881909000,0.8821
192.170.254.72,<->,136.25.189.10,0,0,1477,2180435,1477,2180435,0.082417000,0.1751
220.28.115.46,<->,215.158.238.254,0,0,1467,2116252,1467,2116252,0.018645000,1.8879
215.158.195.23,<->,53.231.141.142,1452,2161517,0,0,1452,2161517,1.487050000,0.3331
220.38.163.255,<->,215.158.140.216,0,0,1444,2170372,1444,2170372,0.470145000,0.4970
215.158.195.21,<->,53.231.227.65,1443,2161104,0,0,1443,2161104,0.050094000,0.4209
133.178.226.22,<->,100.120.38.6,1409,1992558,0,0,1409,1992558,0.038646000,1.9189
133.135.214.225,<->,129.6.83.5,0,0,1400,2012604,1400,2012604,0.971621000,0.9325
215.158.33.1,<->,133.178.226.43,0,0,1383,1945677,1383,1945677,0.003684000,1.1988
111.147.177.227,<->,53.230.16.127,1220,1833662,0,0,1220,1833662,0.052185000,0.9899
215.158.140.214,<->,113.23.83.164,1153,1733894,0,0,1153,1733894,1.541067000,0.1990
109.222.254.120,<->,53.231.147.157,1137,56850,0,0,1137,56850,0.001718000,1.9806
17.23.199.45,<->,8.220.239.104,0,0,1136,60413,1136,60413,0.058273000,1.8127
215.158.140.201,<->,100.224.132.154,1117,1602384,0,0,1117,1602384,0.276582000,0.1635
109.1.19.72,<->,22.249.49.193,1046,1573184,0,0,1046,1573184,0.009216000,1.9662
215.158.197.18,<->,8.252.222.234,0,0,1024,1502560,1024,1502560,1.817487000,0.1749
152.105.191.57,<->,8.252.221.205,0,0,1003,78432,1003,78432,0.026989000,1.9289
61.125.88.44,<->,8.252.222.69,0,0,998,78732,998,78732,0.007919000,1.9794
215.158.238.246,<->,215.158.132.243,956,1364643,0,0,956,1364643,1.929394000,0.0628
144.232.205.250,<->,6.228.9.53,0,0,933,1281230,933,1281230,0.912278000,1.0859
215.158.49.48,<->,136.116.28.230,0,0,926,1389701,926,1389701,1.260715000,0.1239
92.27.27.161,<->,0.48.226.240,926,1287312,0,0,926,1287312,0.048547000,1.9494
209.91.237.87,<->,8.52.154.11,0,0,925,47168,925,47168,0.216783000,1.4727
252.98.149.218,<->,144.85.169.244,915,1373252,0,0,915,1373252,0.579779000,1.4193
215.158.238.118,<->,159.218.248.240,911,1367361,0,0,911,1367361,1.714055000,0.0450
215.158.49.51,<->,136.116.28.231,0,0,896,1339544,896,1339544,0.009736000,0.2048
80.41.48.44,<->,0.38.147.27,894,1343977,0,0,894,1343977,0.000011000,1.9783
193.22.56.246,<->,80.41.51.42,0,0,892,1281260,892,1281260,0.009867000,1.9041
192.64.229.30,<->,132.165.165.5,890,1338560,0,0,890,1338560,0.103923000,1.8904
247.136.153.191,<->,22.249.49.193,888,1335552,0,0,888,1335552,0.005314000,1.9843
53.231.66.9,<->,33.233.141.61,0,0,875,1284748,875,1284748,0.463416000,1.5301
94.193.204.108,<->,8.252.222.93,0,0,867,71984,867,71984,0.037230000,1.9022
220.28.115.46,<->,215.158.238.144,0,0,860,1127467,860,1127467,0.052936000,1.8844
215.158.238.104,<->,33.239.214.176,849,47544,0,0,849,47544,0.040329000,1.8828
215.158.49.22,<->,136.116.28.228,0,0,836,1254909,836,1254909,1.139105000,0.0613
132.168.196.224,<->,8.232.107.145,818,45808,0,0,818,45808,0.000562000,1.0695
218.4.182.130,<->,132.216.20.244,810,1204673,0,0,810,1204673,0.047278000,0.7044
215.158.195.25,<->,53.231.144.135,810,1192427,0,0,810,1192427,0.006975000,1.9783
