src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
247.136.153.249,<->,126.198.78.25,16,800,0,0,16,800,0.335691000,0.4033
249.101.209.167,<->,246.108.107.164,13,650,0,0,13,650,0.624597000,1.0948
144.87.238.89,<->,8.182.253.100,0,0,11,550,11,550,0.223755000,1.6970
17.18.69.246,<->,8.220.176.253,0,0,10,500,10,500,0.666097000,1.1945
220.28.64.202,<->,50.224.80.75,0,0,9,504,9,504,0.623018000,1.2837
221.102.56.69,<->,6.74.201.88,0,0,8,448,8,448,1.675715000,0.2326
246.108.107.211,<->,100.95.73.41,0,0,8,400,8,400,0.007394000,1.8857
220.55.69.95,<->,35.56.3.196,7,350,0,0,7,350,0.175186000,1.5941
221.102.56.69,<->,109.1.60.236,0,0,7,392,7,392,0.050029000,0.6884
215.158.239.95,<->,204.2.144.255,6,336,0,0,6,336,0.644938000,0.2045
138.74.30.197,<->,89.90.107.236,6,300,0,0,6,300,0.275091000,1.6427
194.124.22.48,<->,145.252.126.80,0,0,6,300,6,300,0.055211000,0.8234
221.102.56.69,<->,213.38.233.112,0,0,5,280,5,280,0.944910000,0.6200
159.223.99.61,<->,8.52.185.129,0,0,5,250,5,250,0.616358000,1.0006
147.58.211.37,<->,8.252.221.200,0,0,5,280,5,280,0.440459000,1.2722
222.244.167.142,<->,8.52.188.77,0,0,5,280,5,280,0.300636000,1.2520
221.102.143.189,<->,100.94.173.92,0,0,5,535,5,535,0.228867000,1.7446
80.38.62.154,<->,35.56.3.196,5,250,0,0,5,250,0.173597000,1.3329
98.129.94.194,<->,8.49.114.128,5,535,0,0,5,535,0.166654000,1.7076
243.185.81.59,<->,8.52.179.237,0,0,5,280,5,280,0.042408000,1.8683
101.224.178.156,<->,8.182.253.231,0,0,4,224,4,224,1.654576000,0.0135
144.70.14.36,<->,111.160.232.222,4,224,0,0,4,224,1.495854000,0.3239
8.20.81.32,<->,6.122.148.3,0,0,4,224,4,224,1.022509000,0.9583
56.8.55.61,<->,8.182.224.87,0,0,4,224,4,224,1.008687000,0.0292
221.102.143.189,<->,218.4.169.120,0,0,4,224,4,224,0.962874000,0.5376
111.147.219.221,<->,54.59.84.229,4,224,0,0,4,224,0.950712000,0.9981
218.4.164.231,<->,97.110.90.219,4,200,0,0,4,200,0.938270000,0.5174
220.55.79.216,<->,35.56.3.196,4,200,0,0,4,200,0.874429000,0.6159
139.144.241.233,<->,98.67.154.32,0,0,4,200,4,200,0.763992000,0.9995
146.249.227.135,<->,8.252.221.199,0,0,4,971,4,971,0.671049000,0.3420
192.65.97.145,<->,8.45.175.31,4,286,0,0,4,286,0.593578000,0.7760
221.102.143.189,<->,192.67.184.152,0,0,4,394,4,394,0.582088000,0.7708
139.114.131.88,<->,8.182.239.159,0,0,4,224,4,224,0.555073000,1.2363
210.221.107.50,<->,8.37.222.100,4,309,0,0,4,309,0.534985000,1.3012
213.38.201.158,<->,113.178.172.170,4,200,0,0,4,200,0.400557000,1.1015
92.181.172.215,<->,8.204.53.229,4,224,0,0,4,224,0.360685000,0.3770
215.158.239.232,<->,100.244.13.12,4,224,0,0,4,224,0.336609000,1.6578
111.151.239.114,<->,8.30.103.118,0,0,4,224,4,224,0.302983000,0.9521
139.241.73.46,<->,129.224.112.221,0,0,4,224,4,224,0.177681000,1.5439
17.143.241.23,<->,8.220.188.138,0,0,4,224,4,224,0.170249000,1.1530
221.102.56.69,<->,80.40.10.250,0,0,4,224,4,224,0.100994000,1.0163
132.20.222.234,<->,129.224.112.221,0,0,4,224,4,224,0.060824000,1.8561
221.102.56.69,<->,192.67.172.205,0,0,4,224,4,224,0.033830000,0.5603
99.162.77.146,<->,53.243.12.169,4,200,0,0,4,200,0.024072000,1.8583
239.66.110.113,<->,203.215.177.29,0,0,3,168,3,168,1.895940000,0.0383
92.181.45.37,<->,8.204.53.229,3,168,0,0,3,168,1.895921000,0.0208
129.224.112.252,<->,97.242.126.186,3,168,0,0,3,168,1.662790000,0.2966
221.102.56.46,<->,98.128.228.57,0,0,3,168,3,168,1.603005000,0.2603
221.102.56.69,<->,98.128.231.37,0,0,3,168,3,168,1.551387000,0.2540
252.135.0.205,<->,139.193.141.132,0,0,3,168,3,168,1.487116000,0.0971
144.94.162.244,<->,144.85.170.254,0,0,3,168,3,168,1.262891000,0.4387
221.102.56.69,<->,102.83.11.76,0,0,3,168,3,168,1.221390000,0.4656
251.20.81.56,<->,108.134.108.240,0,0,3,168,3,168,1.124113000,0.7031
144.86.149.46,<->,35.56.3.196,3,150,0,0,3,150,1.121360000,0.8093
246.108.107.182,<->,80.40.4.150,0,0,3,150,3,150,1.108556000,0.4128
144.87.238.89,<->,8.182.226.78,0,0,3,150,3,150,1.107967000,0.7027
221.102.56.69,<->,98.128.75.116,0,0,3,168,3,168,1.098891000,0.5657
220.50.215.89,<->,50.224.80.75,0,0,3,205,3,205,1.088341000,0.8008
197.112.27.111,<->,8.52.222.23,0,0,3,150,3,150,1.080141000,0.7193
239.66.218.250,<->,139.163.41.64,0,0,3,168,3,168,1.072044000,0.7054
17.113.90.104,<->,8.220.200.124,0,0,3,150,3,150,0.950832000,0.0024
215.158.239.49,<->,199.20.31.212,3,168,0,0,3,168,0.926595000,0.0803
210.220.219.151,<->,50.239.31.210,3,168,0,0,3,168,0.892167000,0.4667
210.221.107.50,<->,8.37.249.53,3,168,0,0,3,168,0.875600000,0.0642
195.68.143.220,<->,136.25.188.44,0,0,3,168,3,168,0.838914000,0.2004
195.68.143.220,<->,136.25.188.177,0,0,3,168,3,168,0.834826000,0.1941
221.102.56.69,<->,192.65.35.88,0,0,3,168,3,168,0.747865000,0.4165
232.31.155.18,<->,97.198.118.56,0,0,3,168,3,168,0.741450000,0.2876
99.187.125.121,<->,8.20.87.34,0,0,3,168,3,168,0.741417000,1.1354
50.224.110.86,<->,39.188.171.31,3,150,0,0,3,150,0.738242000,1.1209
232.31.155.17,<->,97.198.118.56,0,0,3,168,3,168,0.721462000,0.3136
109.222.217.220,<->,53.231.222.144,3,150,0,0,3,150,0.691924000,0.0097
216.184.1.112,<->,8.252.222.169,0,0,3,168,3,168,0.667423000,1.1271
215.158.239.87,<->,199.33.220.112,3,230,0,0,3,230,0.622334000,1.3405
97.126.24.188,<->,54.36.93.106,3,327,0,0,3,327,0.601424000,0.5771
220.50.215.68,<->,50.224.80.75,0,0,3,168,3,168,0.585645000,0.6914
132.18.67.31,<->,102.83.62.125,0,0,3,168,3,168,0.544774000,0.8452
144.64.138.63,<->,107.250.233.36,3,150,0,0,3,150,0.453507000,0.5458
68.72.133.189,<->,8.252.221.223,0,0,3,168,3,168,0.432151000,0.0686
213.38.133.55,<->,8.55.230.253,3,291,0,0,3,291,0.399412000,1.3994
56.8.135.115,<->,8.182.227.14,0,0,3,168,3,168,0.382149000,0.0091
133.178.227.255,<->,126.219.54.44,3,168,0,0,3,168,0.365245000,0.9648
144.87.238.91,<->,8.182.226.78,0,0,3,150,3,150,0.357811000,1.3114
247.136.222.54,<->,221.102.143.189,3,423,0,0,3,423,0.331920000,1.0780
199.82.159.149,<->,136.25.188.163,0,0,3,244,3,244,0.325916000,1.2942
129.224.112.252,<->,97.242.126.203,3,168,0,0,3,168,0.264784000,0.9375
221.102.56.69,<->,192.65.85.199,0,0,3,168,3,168,0.236520000,1.6178
221.102.143.189,<->,80.41.2.180,0,0,3,423,3,423,0.232893000,1.4380
95.247.103.183,<->,8.252.221.238,0,0,3,168,3,168,0.222323000,0.0187
221.102.143.189,<->,192.65.236.21,0,0,3,423,3,423,0.211912000,1.4660
239.227.73.148,<->,221.102.56.69,3,168,0,0,3,168,0.196220000,0.5336
144.87.238.20,<->,144.87.235.144,0,0,3,150,3,150,0.195059000,0.2382
221.102.56.69,<->,80.41.225.188,0,0,3,168,3,168,0.188656000,0.1143
195.7.51.31,<->,136.25.188.226,0,0,3,150,3,150,0.186486000,1.0206
221.102.143.189,<->,109.3.189.142,0,0,3,423,3,423,0.173105000,1.4060
221.102.143.189,<->,220.80.132.211,0,0,3,168,3,168,0.137505000,0.7150
68.75.18.110,<->,8.252.221.238,0,0,3,168,3,168,0.132636000,0.0201
221.102.56.69,<->,109.1.51.9,0,0,3,168,3,168,0.118412000,0.5093
17.193.242.92,<->,8.220.188.138,0,0,3,168,3,168,0.094789000,1.8129
221.102.143.189,<->,192.64.78.135,0,0,3,338,3,338,0.081807000,1.8000
192.64.101.33,<->,8.55.224.156,3,261,0,0,3,261,0.069083000,1.4380
221.102.143.189,<->,102.83.9.113,0,0,3,168,3,168,0.068796000,1.3950
221.102.143.189,<->,98.129.57.240,0,0,3,4374,3,4374,0.061486000,1.4380
129.78.112.201,<->,102.45.210.141,3,150,0,0,3,150,0.058669000,0.8393
196.148.133.194,<->,58.131.3.21,3,150,0,0,3,150,0.038887000,1.5848
129.225.135.32,<->,129.225.132.95,0,0,2,100,2,100,1.960542000,0.0030
144.71.44.80,<->,134.65.80.3,2,100,0,0,2,100,1.937303000,0.0073
231.140.235.239,<->,215.158.239.79,0,0,2,112,2,112,1.914115000,0.0106
98.129.116.148,<->,8.45.252.128,2,100,0,0,2,100,1.890776000,0.1055
237.162.205.18,<->,133.54.43.17,0,0,2,100,2,100,1.887232000,0.0033
86.135.211.208,<->,8.252.222.38,0,0,2,100,2,100,1.881956000,0.0043
239.227.119.111,<->,221.102.143.189,2,112,0,0,2,112,1.851051000,0.0791
210.209.251.214,<->,80.41.78.81,0,0,2,100,2,100,1.845869000,0.0000
221.102.143.189,<->,80.40.42.241,0,0,2,112,2,112,1.842810000,0.0717
152.139.166.235,<->,80.27.157.236,0,0,2,112,2,112,1.841993000,0.0048
221.102.56.69,<->,129.1.92.242,0,0,2,112,2,112,1.841481000,0.0035
197.156.143.3,<->,0.195.210.46,0,0,2,100,2,100,1.830559000,0.0092
221.102.126.240,<->,139.254.211.64,2,112,0,0,2,112,1.827267000,0.0320
111.147.236.79,<->,50.145.81.54,2,100,0,0,2,100,1.823044000,0.0182
129.224.112.252,<->,97.242.126.196,2,112,0,0,2,112,1.815676000,0.0098
8.55.211.213,<->,6.72.19.178,0,0,2,112,2,112,1.812839000,0.0198
97.168.79.200,<->,0.195.216.193,2,100,0,0,2,100,1.811876000,0.1494
215.158.239.31,<->,6.230.146.142,2,100,0,0,2,100,1.808080000,0.0059
246.254.97.109,<->,54.59.253.241,2,112,0,0,2,112,1.805316000,0.0014
199.54.0.36,<->,50.223.3.228,0,0,2,112,2,112,1.801579000,0.0001
99.187.125.122,<->,8.20.87.2,0,0,2,112,2,112,1.789167000,0.1861
192.172.29.39,<->,8.52.131.188,0,0,2,100,2,100,1.787649000,0.0008
145.242.124.39,<->,99.72.60.194,0,0,2,100,2,100,1.779677000,0.0967
99.124.166.199,<->,8.52.183.96,0,0,2,112,2,112,1.751577000,0.1855
239.66.110.113,<->,203.215.177.37,0,0,2,112,2,112,1.742141000,0.1602
215.201.227.68,<->,8.182.229.180,0,0,2,112,2,112,1.720733000,0.0049
146.235.129.205,<->,0.195.210.42,0,0,2,112,2,112,1.711762000,0.0242
146.249.220.207,<->,8.252.221.197,0,0,2,112,2,112,1.701398000,0.0120
213.38.197.82,<->,8.55.224.156,2,112,0,0,2,112,1.690810000,0.0832
221.102.56.46,<->,80.40.10.88,0,0,2,112,2,112,1.683537000,0.2903
139.192.40.145,<->,8.52.222.23,0,0,2,112,2,112,1.673183000,0.2032
139.163.26.146,<->,101.85.186.19,2,212,0,0,2,212,1.634887000,0.3042
210.209.251.211,<->,111.146.143.217,0,0,2,168,2,168,1.606787000,0.0000
38.2.189.242,<->,8.220.176.253,0,0,2,100,2,100,1.599286000,0.0003
132.49.148.122,<->,56.120.95.192,2,100,0,0,2,100,1.584505000,0.0002
199.51.21.63,<->,136.25.188.46,0,0,2,100,2,100,1.562743000,0.4238
122.193.57.250,<->,8.52.183.96,0,0,2,112,2,112,1.549580000,0.0822
98.67.140.104,<->,53.83.63.193,2,112,0,0,2,112,1.547127000,0.1400
221.102.56.69,<->,80.41.82.212,0,0,2,112,2,112,1.546891000,0.0139
