src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
123.153.228.196,<->,92.162.253.159,0,0,1181,1448476,1181,1448476,0.009082000,0.8144
133.178.226.196,<->,100.224.243.115,534,444265,0,0,534,444265,0.003770000,1.9859
133.178.226.214,<->,100.224.243.106,412,419001,0,0,412,419001,1.033266000,0.9531
215.158.33.1,<->,133.178.226.43,0,0,233,216077,233,216077,0.003738000,1.1988
215.158.239.20,<->,96.135.154.114,227,164106,0,0,227,164106,0.557902000,1.1939
136.25.189.55,<->,80.56.246.217,219,198591,0,0,219,198591,0.858701000,0.1864
192.228.188.15,<->,133.178.227.105,0,0,207,184390,207,184390,0.578327000,0.6445
215.158.33.13,<->,133.178.226.55,0,0,194,103587,194,103587,0.297602000,1.6089
215.158.49.51,<->,136.116.28.231,0,0,184,268696,184,268696,0.009736000,0.2048
215.158.58.243,<->,8.252.222.232,0,0,159,228508,159,228508,0.293633000,0.2976
133.178.226.244,<->,97.28.132.56,140,54803,0,0,140,54803,0.595135000,0.0481
136.25.189.94,<->,8.188.181.66,140,130068,0,0,140,130068,0.092443000,1.2372
220.28.115.46,<->,215.158.238.144,0,0,137,139135,137,139135,0.114772000,1.8226
123.34.158.243,<->,35.56.96.143,0,0,129,24748,129,24748,0.028847000,1.9290
215.158.23.56,<->,8.255.92.213,125,167491,0,0,125,167491,0.010687000,1.9795
220.28.108.254,<->,215.158.238.129,0,0,123,125736,123,125736,0.067222000,1.8413
133.178.226.173,<->,84.18.223.130,123,179211,0,0,123,179211,0.019485000,1.9333
133.178.227.28,<->,8.255.87.80,122,114629,0,0,122,114629,0.805956000,0.2763
133.178.226.255,<->,17.128.69.208,121,49318,0,0,121,49318,1.097032000,0.8203
215.158.197.12,<->,8.252.222.153,0,0,102,65805,102,65805,0.156842000,0.2233
133.8.10.153,<->,101.224.89.150,0,0,100,101358,100,101358,1.389019000,0.2168
215.158.49.76,<->,136.116.28.231,0,0,99,135316,99,135316,0.383139000,1.5861
133.178.226.23,<->,100.120.38.6,93,89278,0,0,93,89278,0.065617000,1.8643
